Song,Artist,Lyrics Url,Lyrics
I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy,,
Philadelphia U.S.A.,The Nu Tornados,,
Afro-Strut,The Nite-Liters,,
Peek-A-Boo,The New Vaudeville Band,,
Look What They've Done To My Song Ma,The New Seekers featuring Eve Graham,,
Theme From Superman (Main Title),The London Symphony Orchestra/John Williams,,
I Don't Love You Anymore,The London Quireboys,,
Darling Lorraine,The Knockouts,,
Wheel Of Fortune,The Knightsbridge Strings,,
CooCoo-U,The Kingston Trio,,
I Don't Know How To Love Him/Everything's Alright,The Kimberlys,,
"Spin The Bottle (From ""Reality Bites"")",The Juliana Hatfield 3,,
Mumblin' Mosie,The Johnny Otis Show,,
The Bertha Butt Boogie-Part 1,The Jimmy Castor Bunch,,
"Cross My Broken Heart (From ""Beverly Hills Cop II"")",The Jets,,
Uptight (Everything's Alright),The Jazz Crusaders,,
My Buddy Seat,The Hondells,,
The Fonz Song,The Heyettes,,
Wish Me A Rainbow,The Gunter Kallmann Chorus,,
Please Don't Sell My Daddy No More Wine,The Greenwoods,,
Pony Time,The Goodtimers,,
Hootenanny,The Glencoves,https://genius.com/The-glencoves-hootenanny-lyrics,"There's gonna be a big
Hootenanny, hootenanny
Everybody's gonna come along
All join in at the
Hootenanny, hootenanny
Sing a hooting, hollering song
Put on your hat
Throw out the cat
Bring a little money
'Cause you might need that
Throw out the blues
Kick off your shoes
Sing a little, sing a little
Make a little, love a little
Bring a little honey to
The hootenanny, hootenanny
Everybody's gonna have a date
Hurry hurry, hurry to
The hootenanny, hootenanny
We don't wanna be late
You get the girls
I'll get the car
Bring a banjo and an old guitar
Gеt out the spoons
You know the tunes
Hеy diddle diddle
With a fiddle in the middle"
A Girl Has To Know,The G-Clefs,,
Hideaway,The Four Esquires,,
America/Standing/Because I Love You,The Five Stairsteps,,
Ain't Gonna Rest (Till I Get You),The Five Stairsteps,,
I Can't Say Goodbye,The Fireflies Featuring Ritchie Adams,,
Vaquero (Cowboy),The Fireballs,,
I Found A Love,The Falcons & Band (Ohio Untouchables),,
What A Wonderful Thing We Have,The Fabulous Rhinestones,,
Martinique,The Exotic Sounds of Martin Denny,,
Keem-O-Sabe,The Electric Indian,,
The Fife Piper,The Dynatones,,
White Christmas,The Drifters Featuring Clyde McPhatter And Bill Pinkney,,
Betty In Bermudas,The Dovells,,
Hey-Da-Da-Dow,The Dolphins,,
"Southtown, U.S.A.",The Dixiebelles,,
Double-O-Seven,The Detergents,,
I'm So Glad I'm Standing Here Today,The Crusaders With Joe Cocker,,
1/2/03,The Chimes,,
Toby/that's How Long,The Chi-lites,,
A Lonely Man/The Man & The Woman (The Boy & The Girl),The Chi-lites,,
The Coldest Days Of My Life (Part 1),The Chi-lites,,
Why (Doncha Be My Girl),The Chartbusters,,
Jungle Fever,The Chakachas,,
Teen-Ex,The Browns Featuring Jim Edward Brown,,
Hootenanny Saturday Night,The Brothers Four,https://genius.com/The-brothers-four-hootenanny-saturday-night-lyrics,"We'll have a hootenanny
Hootenanny Saturday night
We raise the roof and
The rafters with song
Yell out your favorite
We'll sing it loud and strong
Come and bring your
Lady love along
We'll throw a Hootenanny
Hootenanny Saturday night
And if you think we'll
Be rowdy, you're right
We'll hoot and holler
And raise almighty Cain
Every Saturday night
We'll throw a Hootenanny
Hootenanny Saturday night
And if you think we'll
Be rowdy, you're right
We'll hoot and holler
And raise almighty Cain
Every Saturday night"
The Dis-Advantages Of You,The Brass Ring featuring Phil Bodner,,
The Phoenix Love Theme (Senza Fine),The Brass Ring featuring Phil Bodner,,
Have Mercy Baby,The Bobbettes,,
Dance With Me Georgie,The Bobbettes,,
I Shot Mr. Lee,The Bobbettes,,
Funky Nassau-Part I,The Beginning Of The End,,
Rock'N'roll To The Rescue,The Beach Boys,,
Light Of Day,The Barbusters (Joan Jett And The Blackhearts),,
"The Tra La La Song (One Banana, Two Banana)",The Banana Splits,https://genius.com/The-banana-splits-the-tra-la-la-song-one-banana-two-banana-lyrics,"[Chorus]
Tra-la-la, la-la-la-la
Tra-la-la, la-la-la-la
Tra-la-la, la-la-la-la
Tra-la-la, la-la-la-la
Tra-la-la, la-la-la-la
Tra-la-la, la-la-la-la
[Verse 1]
One banana, two banana, three banana, four
Four bananas make a bunch and so do many more
Over hill and highway the Banana Buggies go
Comin' on to bring you the Banana Splits show
[Bridge]
Makin' up a mess of fun
Makin' up a mess of fun
Lots of fun for everyone
[Chorus]
Tra-la-la, la-la-la-la
Tra-la-la, la-la-la-la
Tra-la-la, la-la-la-la
Tra-la-la, la-la-la-la
[Verse 2]
Four banana, three banana, two banana, one
All bananas playing in the bright warm sun
Flipping like a pancake, popping like a cork
Fleegle, Bingo, Drooper, and 
Snork"
