Song,Artist,Lyrics Url,Lyrics
I Don't Wanna Know,Mario Winans Featuring Enya & P. Diddy,https://genius.com/Mario-winans-i-dont-wanna-know-lyrics,"[Intro: 
Diddy
 and Mario Winans]
Hold up, let me answer my phone
Some bitch callin' me about some bullshit probably
I'ma call you right back, I'm doin' this mixtape right now
Now back to what I was sayin'...
I just can't believe this, man
It's just another night of these thoughts
Can't get this out of my head
Yeah
[Verse 1: Mario Winans]
Somebody said they saw you
The person you were kissing wasn't me
And I would never ask you
I just kept it to myself
[Chorus: Mario Winans]
I don't wanna know
If you're playin' me, keep it on the low
'Cause my heart can't take it anymore
And if you're creepin', please don't let it show
Oh, baby
I don't wanna know
Oh, oh, baby
[Verse 2: Mario Winans]
I think about it when I hold you
When lookin' in your eyes, I can't believe
I don't need to know the truth
Baby, keep it to yourself"
(Theme From) The Sundowners,Mantovani & His Orchestra,,
Main Theme from Exodus (Ari's Theme),Mantovani & His Orch.,,
"Roc Ya Body ""Mic Check 1,2""",M.V.P. (Most Valuable Playas) Featuring Stagga Lee,,
Hum A Song (From Your Heart),Lulu with The Dixie Flyers,,
Si No Quieres No,Luis R Conriquez x Neton Vega,,
Move B***h,Ludacris Featuring Mystikal & Infamous 2.0,,
One More Drink,Ludacris Co-Starring T-Pain,,
Last Of A Dying Breed,Ludacris Co-Starring Lil Wayne,,
What Them Girls Like,Ludacris Co-Starring Chris Brown & Sean Garrett,,
UP!,LoveRance Featuring IamSu & Skipper or 50 Cent,,
Life And Death In G&A,Love Childs Afro Cuban Blues Band,,
Bei Mir Bist Du Schön,Louis Prima And Keely Smith,,
Pepino's Friend Pasqual (The Italian Pussy-Cat),Lou Monte,,
A Time To Love-A Time To Cry (Petite Fleur),Lou Johnson,,
Fried Onions,Lord Rockingham's XI,,
Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night),Lonnie Donegan And His Skiffle Group,,
You've Lost That Lovin' Feelin',Long John Baldry & Kathi MacDonald,,
Wont'cha Come Home,Lloyd Price and His Orchestra,,
Long Haired Lover From Liverpool,Little Jimmy Osmond with The Mike Curb Congregation,,
You Never Miss Your Water (Till The Well Runs Dry),Little Esther Phillips & Big Al Downing,,
Help Me Find A Way (To Say I Love You),Little Anthony And The Imperials,,
Close My Eyes Forever,Lita Ford (Duet With Ozzy Osbourne),,
All Cried Out,Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou,,
Jack The Ripper,Link Wray And The Wraymen,,
Raw-Hide,Link Wray And The Wraymen,,
Up To My Neck In High Muddy Water,Linda Ronstadt & The Stone Poneys,,
What's New,Linda Ronstadt & The Nelson Riddle Orchestra,,
"Somewhere Out There (From ""An American Tail"")",Linda Ronstadt & James Ingram,,
All My Life,Linda Ronstadt (Featuring Aaron Neville),,
Heat Wave/love Is A Rose,Linda Ronstadt,,
It Doesn't Matter Anymore/When Will I Be Loved,Linda Ronstadt,,
Start This S**t Off Right,Lil Wayne Featuring Ashanti & Mack Maine,,
One More Sunrise (Morgen),Leslie Uggams,,
Somebody Send My Baby Home,Lenny LeBlanc,,
Hound Dog Man (Play It Again),Lenny LeBlanc,,
1/2/03,Len Barry,,
Scarlett O'Hara,Lawrence Welk And His Orchestra,,
Breakwater,Lawrence Welk And His Orchestra,,
Hooked On Swing,Larry Elgart And His Manhattan Swing Orchestra,,
Mojo Workout (Dance),Larry Bright,,
Thunderclouds,"Labrinth, Sia & Diplo Present... LSD",,
"Beware Of My Crew (From ""A Thin Line Between Love And Hate"")",L.B.C. Crew Feat. Tray D & South Sentrell,,
China Nights (Shina No Yoru),Kyu Sakamoto,,
He's So Fine,Kristy And Jimmy McNichol,,
Freak On A Leash (Unplugged),Korn Featuring Amy Lee,,
"Man Size Love (From ""Running Scared"")",Klymaxx,,
Sub-rosa Subway/calling Occupants,Klaatu,,
Lean On Me,"Kirk Franklin Featuring Mary J. Blige, Bono, R. Kelly, Crystal Lewis & The Family",,
If I Say,Kingofthehill,,
Harper Valley P.T.A.,King Curtis & The Kingpins,,
I Heard It Thru The Grapevine,King Curtis & The Kingpins,,
Valley Of The Dolls,King Curtis & The Kingpins,,
Shoulda Let You Go,Keyshia Cole Introducing Amina,,
Rainbow Connection,Kermit (Jim Henson),,
Springfield Plane,Kenny O'Dell,,
Everybody Wants To Go To Heaven,Kenny Chesney With The Wailers,,
Shiftwork,Kenny Chesney Duet With George Strait,,
March Of The Siamese Children,Kenny Ball and his Jazzmen,,
One Too Many,Keith Urban Duet With P!nk,,
Daytime Night-Time,Keith Hampshire,,
Summer Souvenirs,"Karl Hammel, Jr.",,
You Light Up My Life,Kacey Cisyk/Original Cast,,
If You Think You're Lonely Now,K-Ci Hailey,,
Until The End Of Time,Justin Timberlake Duet With Beyonce,,
Super-cali-fragil-istic-expi-ali-docious,Julie Andrews-Dick Van Dyke,,
I'll Be There,"Joyce ""Fenderella"" Irby",,
The Astronaut (Parts 1 & 2),Jose Jimenez,,
Destiny/Susie-Q,Jose Feliciano,,
Hitchcock Railway,Jose Feliciano,,
Anna,Jorgen Ingmann & His Guitar,,
Apache,Jorgen Ingmann & His Guitar,,
I Can See Clearly Now,Johnny Nash,,
Bonanza!,Johnny Cash,https://genius.com/Johnny-cash-bonanza-lyrics,"[Verse 1]
The claim we hold is as good as gold, bonanza
Hand in hand we built this land, the Ponderosa Ranch
Our birthright is this Cartwright bonanza
We here belong, and standing strong, wrong doesn't have a chance
[Chorus]
Day by day, work or play, ready side by side
Hello friend, come on in, the gate is open wide
Bound to be a fighting free bonanza
Singing pines of boundary lines for the Ponderosa Ranch
[Verse 2]
Every tree and flower is part of our bonanza
The stars at night, the morning light, water in the branch
We ride along four men strong together
Every plain and ridge is our heritage, Ponderosa Ranch
[Chorus]"
Sax Fifth Avenue,Johnny Beecher and his Buckingham Road Quintet,,
Meet Me At The Twistin' Place,Johnnie Morisette,,
Don't Pat Me On The Back And Call Me Brother,John W. Anderson presents KaSandra,,
Summer Nights,John Travolta & Olivia Newton-John & Cast,,
Sockin' 1-2-3-4,John Roberts,,
Whatever Gets You Thru The Night,John Lennon With The Plastic Ono Nuclear Band,,
Shirley,John Fred And The Playboys,,
Thou Shalt Not Steal,John D. Loudermilk,,
The Authority Song,John Cougar Mellencamp,,
Goldfinger,John Barry and His Orchestra,,
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,,
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,,
I'm Sorry,Joey Heatherton,,
Roly Poly,Joey Dee & the Starliters,,
Theme From Raging Bull (Cavalleria Rusticana),Joel Diamond,,
Theme From Cleopatra Jones,Joe Simon featuring The Mainstreeters,,
Toys In The Attic,"Joe Sherman, his Orchestra and Chorus",,
The Guns Of Navarone,Joe Reisman Orch. & Chorus,,
Fly Me To The Moon - Bossa Nova,Joe Harnell And His Orchestra,,
You're Next,Jimmy Witherspoon,,
The Organ Grinder's Swing,Jimmy Smith With Kenny Burrell And Grady Tate,,
My Answer,Jimmy McCracklin,,
I Am Somebody,Jimmy James & The Vagabonds,,
Daisy Petal Pickin',Jimmy Gilmer And The Fireballs,,
Don't Sign The Paper Baby (I Want You Back),Jimmy Delphs,,
A Million To One,Jimmy Charles and The Revelletts,,
Where Have They Gone,Jimmy Beaumont And The Skyliners,,
"Two-Ten, Six-Eighteen (Doesn't Anybody Know My Name)",Jimmie Rodgers,,
Ring-A-Ling-A-Lario,Jimmie Rodgers,,
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,,
Ooh Poo Pah Doo - Part II,Jessie Hill,,
What's Happened To Blue Eyes/You Ain't Never Been Loved (Like I'm Gonna Lov,Jessi Colter,,
Karate-Boo-Ga-Loo,Jerryo,,
Primrose Lane,Jerry Wallace With The Jewels,,
"Goodnight, Irene",Jerry Reed And The Hully Girlies,,
Cherry Pink And Apple Blossom White,Jerry Murad's Harmonicats,,
If It's Real What I Feel,Jerry Butler Featuring Brenda Lee Eager,,
(They Long To Be) Close To You,Jerry Butler & Brenda Lee Eager,,
"The Right Kind Of Love (From ""Beverly Hills, 90210"")",Jeremy Jordan,,
Flames Of Paradise,Jennifer Rush (Duet With Elton John),,
What's It Gonna Be,Jellybean Featuring Niki Haris,,
Sidewalk Talk,Jellybean Featuring Catherine Buchanan,,
Redneck Games,Jeff Foxworthy With Alan Jackson,,
Can I Get A...,Jay-Z Featuring Amil (Of Major Coinz) & Ja,,
4:44,JAY-Z,,
"The Anaheim, Azusa & Cucamonga Sewing Circle, Book Review And Timing Associ",Jan & Dean,,
"Cuz It's You, Girl",James Walsh Gypsy Band,,
Love Is A 5-Letter Word,James Phelps,,
The Ten Commandments Of Love,James MacArthur,,
Yah Mo B There,James Ingram With Michael McDonald,,
What My Baby Needs Now Is A Little More Lovin',James Brown-Lyn Collins,,
"I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Mysel",James Brown,,
Amapola,Jacky Noguez And His Orchestra,,
Marina,Jacky Noguez And His Orchestra,,
"Ciao, Ciao Bambina",Jacky Noguez And His Musette Orchestra,,
Squeeze Her-Tease Her (But Love Her),Jackie Wilson,,
Vanilla Ólay,Jackie DeShannon,,
Goldfinger,Jack Laforge His Piano and Orchestra,,
Sun...Sun...Sun...Pt. I,Ja-Kki,,
let.go.my.hand,"J. Cole, Bas & 6LACK",,
pride.is.the.devil,J. Cole & Lil Baby,,
hunger.on.hillside,J. Cole & Bas,,
punchin'.the.clock,J. Cole,,
the.climb.back,J. Cole,,
Big Leg Woman (With A Short Short Mini Skirt),"Israel ""Popper Stopper"" Tolbert",,
Down 4 U,"Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita",,
What's Your Hurry Darlin',Ironhorse,,
Listen Me Tic (Woyoi),Ini Kamoze,,
"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,,
(1-2-3-4-5-6-7) Count The Days,Inez & Charlie Foxx,,
I Want To Take You Higher,Ike & Tina Turner & The Ikettes,,
Kream,Iggy Azalea Feauring Tyga,,
Baby It's Cold Outside,Idina Menzel Duet With Michael Buble,,
This Sporting Life,Ian Whitcomb And Bluesville,,
N-E-R-V-O-U-S!,Ian Whitcomb,,
Halle Berry (She's Fine),Hurricane Chris Featuring SupaSTAAR,,
Hang 'Em High,"Hugo Montenegro, His Orchestra And Chorus",,
"The Good, The Bad And The Ugly","Hugo Montenegro, His Orchestra And Chorus",,
Up-Up And Away,Hugh Masekela,,
Don't You Know Yockomo,"Huey ""piano"" Smith With His Clowns",,
Ajax Airlines,Hudson and Landry,,
Disco Sax/for The Love Of You,Houston Person,,
Rockin' Crickets,Hot-Toddys featuring Bill Pennell,,
Simpel Gimpel,Horst Jankowski,,
Don't Leave Me Starvin' For Your Love (Part 1),Holland-Dozier,,
"Unconditional Love (From ""Menace II Society"")",Hi-Five,,
Marching Thru Madrid,Herb Alpert's Tijuana Brass,,
Last Tango In Paris,Herb Alpert & The Tijuana Brass,,
Zazueira (Za-zoo-wher-a),Herb Alpert & The Tijuana Brass,,
My Favorite Things,Herb Alpert & The Tijuana Brass,,
Cabaret,Herb Alpert & The Tijuana Brass,,
A Banda (Ah Bahn-da),Herb Alpert & The Tijuana Brass,,
Banzai Pipeline,Henry Mancini And His Orchestra,,
I Ain't Havin' That,Heltah Skeltah Featuring Starang Wondah Of O.G.C. & Doc Holiday,,
I Can't Hear You No More/Music Is My Life,Helen Reddy,,
Groovy Grubworm,Harlow Wilcox and the Oakies,,
Big Dawgs,Hanumankind X Kalmi,,
Roll In My Sweet Baby's Arms/I'm So Lonesome I Could Cry,Hank Wilson,,
Everyday Without You,"Hamilton, Joe Frank & Reynolds",,
Annabella,"Hamilton, Joe Frank & Reynolds",,
Don't Fight The Hands (That Need You),"Hamilton, Joe Frank & Dennison",,
Loving You Has Made Me Bananas,Guy Marks,https://genius.com/Guy-marks-loving-you-has-made-me-bananas-lyrics,"Verse 1
Oh, your red scarf matches your eyes
You closed your cover before striking
Father had the shipfitter blues
Loving you has made me bananas
Verse 2
Oh, your red scarf matches your eyes
You closed your cover before striking
Father had the shipfitter blues
Loving you has made me bananas
Bridge
Oh, you burnt your finger that evening
While my back was turned
I asked the waiter for iodine
But I dined all alone
Verse 3
Oh, your red scarf matches your eyes
You closed your cover before striking
Father had the shipfitter blues
Loving you has made me bananas
(Return to bridge)"
"Sympathy For The Devil (""Interview With The Vampire"")",Guns N' Roses,,
"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,,
"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,,
Oh Sweet Lorraine,Green Shoe Studio Featuring Jacob Colgan & Fred Stobaugh,,
"How 'Bout Us (From ""True Love"")",Grayson Hugh & Betty Wright,,
Southbound Train,Graham Nash & David Crosby,,
Before It's Too Late (Sam And Mikaela's Theme),Goo Goo Dolls,,
1/2/03,Gloria Estefan & Miami Sound Machine,,
It's Gonna Be Fine,Glenn Yarbrough,,
I Feel A Song (In My Heart)/Don't Burn Down The Bridge,Gladys Knight And The Pips,,
Seasons Of Gold,Gidea Park featuring Adrian Baker,,
"Nine More Miles (The ""Faster-Faster"" Song)",Georgie Young,,
"(Mama Come Quick, and Bring Your) Lickin' Stick",George Torrence & The Naturals,,
Bangla-Desh/Deep Blue,George Harrison,,
Georgia Porcupine,George Fischoff,,
Soul Hootenanny (Pt. I),Gene Chandler,,
Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,,
Poco-Loco,Gene & Eunice,,
Eh! Cumpari,Gaylord & Holiday,,
Jolé Blon,Gary U.S. Bonds,,
7-6-5-4-3-2-1 (Blow Your Whistle),Gary Toms Empire,,
Who Shot J.R.?,Gary Burbank With Band McNally,,
Baby Don't You Weep,Garnet Mimms & The Enchanters,,
Here We Go,Funkmaster Flex Presents Khadejia Featuring Product,,
What's Up Doc? (Can We Rock),Fu-Schnickens W/ Shaquille O'Neal,,
Let's Put The Fun Back In Rock N Roll,Freddy Cannon & The Belmonts,,
Killin' Time,Fred Knoblock & Susan Anton,,
Battle Of Gettysburg,Fred Darian,,
Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,,
Jingle Bells,Frank Sinatra With Orchestra Conducted By Gordon Jenkins,,
La Montana (If She Should Come To You),Frank DeVol And His Rainbow Strings,,
On The Beach,Frank Chacksfield And His Orch.,,
"Big Bad Mamma (From ""Def Jam's How To Be A Player"")",Foxy Brown Featuring Dru Hill,,
You'll Miss Me (When I'm Gone),Fontella Bass & Bobby McClure,,
Dear Mrs. Applebee,Flip Cartridge,,
"Good Times, Rock & Roll",Flash Cadillac And The Continental Kids,,
Dancin' (On A Saturday Night),Flash Cadillac And The Continental Kids,,
We Must Be In Love,Five Stairsteps & Cubie,,
Stay Close To Me,Five Stairsteps & Cubie,,
Don't Change Your Love,Five Stairsteps & Cubie,,
A Million To One,Five Stairsteps & Cubie,,
Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),,
Midnight Cowboy,Ferrante & Teicher,,
Antony And Cleopatra Theme,Ferrante & Teicher,,
Theme From Lawrence Of Arabia,Ferrante & Teicher,,
Theme From The Sundowners,Felix Slatkin Orchestra and Chorus,,
It May Be Winter Outside (But In My Heart It's Spring),Felice Taylor,,
10/9/08,Face To Face,,
Do I Make Myself Clear,Etta James & Sugar Pie DeSanto,,
Cinderella Rockefella,Esther & Abi Ofarim,,
Southern Gul,Erykah Badu Featuring Rahzel,,
I Cried My Last Tear,Ernie K-Doe,,
Chattanooga Choo Choo,Ernie Fields & Orch.,,
Duele El Corazon,Enrique Iglesias Feat. Wisin or Tinashe & Javada,,
With My Eyes Wide Open I'm Dreaming,Enoch Light & The Light Brigade,,
A Man Without Love (Quando M'innamoro),Engelbert Humperdinck,,
They Remind Me Too Much Of You,Elvis Presley With The Mello Men,,
What'd I Say,Elvis Presley With The Jubilee Four And Carole Lombard Quartet,,
Do The Clam,"Elvis Presley With The Jordanaires, Jubilee Four & Carol Lombard Trio",,
Indescribably Blue,Elvis Presley With The Jordanaires and The Imperials Quartet,,
A Little Less Conversation,Elvis Presley With The Jordanaires,,
Almost In Love,Elvis Presley With The Jordanaires,,
"Your Time Hasn't Come Yet, Baby",Elvis Presley With The Jordanaires,,
Let Yourself Go,Elvis Presley With The Jordanaires,,
U.S. Male,Elvis Presley With The Jordanaires,,
You'll Never Walk Alone,Elvis Presley With The Jordanaires,,
Stay Away,Elvis Presley With The Jordanaires,,
You Don't Know Me,Elvis Presley With The Jordanaires,,
There's Always Me,Elvis Presley With The Jordanaires,,
Long Legged Girl (With The Short Dress On),Elvis Presley With The Jordanaires,,
That's Someone You Never Forget,Elvis Presley With The Jordanaires,,
All That I Am,Elvis Presley With The Jordanaires,,
Spinout,Elvis Presley With The Jordanaires,,
Tell Me Why,Elvis Presley With The Jordanaires,,
Puppet On A String,Elvis Presley With The Jordanaires,,
Tickle Me,Elvis Presley With The Jordanaires,,
(Such An) Easy Question,Elvis Presley With The Jordanaires,,
Crying In The Chapel,Elvis Presley With The Jordanaires,,
It Feels So Right,Elvis Presley With The Jordanaires,,
Ask Me,Elvis Presley With The Jordanaires,,
Such A Night,Elvis Presley With The Jordanaires,,
Viva Las Vegas,Elvis Presley With The Jordanaires,,
Kiss Me Quick,Elvis Presley With The Jordanaires,,
Kissin' Cousins,Elvis Presley With The Jordanaires,,
It Hurts Me,Elvis Presley With The Jordanaires,,
Bossa Nova Baby,Elvis Presley With The Jordanaires,,
Witchcraft,Elvis Presley With The Jordanaires,,
(You're the) Devil In Disguise,Elvis Presley With The Jordanaires,,
Return To Sender,Elvis Presley With The Jordanaires,,
King Of The Whole Wide World,Elvis Presley With The Jordanaires,,
Where Do You Come From,Elvis Presley With The Jordanaires,,
She's Not You,Elvis Presley With The Jordanaires,,
Just Tell Her Jim Said Hello,Elvis Presley With The Jordanaires,,
Good Luck Charm,Elvis Presley With The Jordanaires,,
Anything That's Part Of You,Elvis Presley With The Jordanaires,,
Can't Help Falling In Love,Elvis Presley With The Jordanaires,,
Rock-A-Hula Baby,Elvis Presley With The Jordanaires,,
Wild In The Country,Elvis Presley With The Jordanaires,,
Flaming Star,Elvis Presley With The Jordanaires,,
Surrender,Elvis Presley With The Jordanaires,,
Lonely Man,Elvis Presley With The Jordanaires,,
Are You Lonesome To-night?,Elvis Presley With The Jordanaires,,
I Gotta Know,Elvis Presley With The Jordanaires,,
It's Now Or Never,Elvis Presley With The Jordanaires,,
A Mess Of Blues,Elvis Presley With The Jordanaires,,
Stuck On You,Elvis Presley With The Jordanaires,,
Fame And Fortune,Elvis Presley With The Jordanaires,,
A Big Hunk O' Love,Elvis Presley With The Jordanaires,,
My Wish Came True,Elvis Presley With The Jordanaires,,
(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,,
I Need Your Love Tonight,Elvis Presley With The Jordanaires,,
Hard Headed Woman,Elvis Presley With The Jordanaires,,
Don't Ask Me Why,Elvis Presley With The Jordanaires,,
Steamroller Blues/Fool,Elvis Presley,,
(Sartorial Eloquence) Don't Ya Wanna Play This Game No More?,Elton John,,
Grow Some Funk Of Your Own/I Feel Like A Bullet (In The Gun Of Robert Ford),Elton John,,
Secret Of Love,Elton Anderson With Sid Lawrence Combo,,
Abyssinia Jones,Edwin Starr,,
I Talk To The Trees,Edmundo Ros and His Orchestra,,
Hook And Sling-Part I,Eddie Bo,,
Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,,
Things'll Never Change/Rapper's Ball,E-40 Featuring Bo-Rock,,
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,,
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,,
Alright In The City,Dunn & McCashen,,
Shazam!,Duane Eddy His Twangy Guitar And The Rebels,,
Bonnie Came Back,Duane Eddy His Twangy Guitar And The Rebels,,
Some Kind-A Earthquake,Duane Eddy His Twangy Guitar And The Rebels,,
"First Love, First Tears",Duane Eddy His Twangy Guitar And The Rebels,,
Cannonball,Duane Eddy His Twangy Guitar And The Rebels,,
Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,,
Boss Guitar,Duane Eddy and the Rebelettes,,
(Dance With The) Guitar Man,Duane Eddy and the Rebelettes,,
Kommotion,Duane Eddy,,
14-Mar,Drake,,
Right String But The Wrong Yo-Yo,Dr. Feelgood And The Interns,,
My Lucky Love,Doug Franklin With The Bluenotes,,
Baciare Baciare (Kissing Kissing),Dorothy Collins,,
Bump Me Baby Part 1,Dooley Silverspoon,,
When I Fall In Love/Are You Lonesome Tonight,Donny Osmond,,
The Ghetto-Part 1,Donny Hathaway,,
Seesaw,Don Covay & The Goodtimers,,
"Theme From ""The Unforgiven"" (The Need For Love)",Don Costa And His Orchestra And Chorus,,
Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,,
Yes - Sir - ee,Dodie Stevens,,
Dancin' Kid,Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,,
Jam Band,Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,,
Get Dancin',Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,,
Freak Me Baby,"Dis `N' Dat Feat. 95 South,69 Boyz & K-Nock",,
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,,
Do You Know The Way To San José,Dionne Warwick,,
The Minotaur,Dick Hyman & His Electric Eclectics,,
The Scavenger,Dick Dale and The Del-Tones,,
"Pops, We Love You (A Tribute To Father)","Diana Ross, Marvin Gaye, Smokey Robinson & Stevie Wonder",,
Master & Servant/(Set Me Free) Remotivate Me,Depeche Mode,,
Rosanna,Dennis Yost And The Classics IV,,
The Funniest Thing,Dennis Yost And The Classics IV,,
"Getting It On/Ride, Sally, Ride",Dennis Coffey & The Detroit Guitar Band,,
Sermonette,Della Reese,,
Dueling Banjos,Deliverance/Eric Weissberg & Steve Mandell,,
Pocketful Of Rainbows,Deane Hawley,,
Tra La La La Suzy,Dean And Jean,,
Lily Was Here,David A. Stewart Introducing Candy Dulfer,,
Beach Party,Dave York and The Beachcombers,,
Wicked Ruby,Danny Zella and his Zell Rocks,,
Oo-La-La-Limbo,Danny & The Juniors,,
Winchester Cathedral,Dana Rollin,,
Can't We Try,Dan Hill (Duet With Vonda Shepard),,
Where I Wanna Be,Damizza Presents Shade Sheist Featuring Nate Dogg & Kurupt,,
That's The Way Of The World,D-Mob With Cathy Dennis,,
C'mon And Get My Love,D-Mob Introducing Cathy Dennis,,
The Children's Marching Song (Nick Nack Taddy Whack),Cyril Stapleton And His Orchestra,,
"Return Of The Crooklyn Dodgers (From ""Clockers"")",Crooklyn Dodgers '95,,
I Heard It Through The Grapevine,Creedence Clearwater Revival Featuring John Fogerty,,
Travelin' Band/Who'll Stop The Rain,Creedence Clearwater Revival,,
Down On The Corner/Fortunate Son,Creedence Clearwater Revival,,
"C U When U Get There (From ""Nothing To Lose"")",Coolio Featuring 40 Thevz,,
Baby I'm Hooked,ConFunkShun,,
Shake And Dance With Me,ConFunkShun,,
Think Me A Kiss,Clyde McPhatter,,
Just Give Me A Ring,Clyde McPhatter,,
You Went Back On Your Word,Clyde McPhatter,,
Twice As Nice,Clyde McPhatter,,
I Told Myself A Lie,Clyde McPhatter,,
Set Me Free,Clubland Featuring Zemya Hamilton,,
Much Better,Club 69 Featuring Suzanne Palmer,,
Sugar Bee,Cleveland Crochet and Band,,
Kentucky Moonrunner,Cledus Maggard And The Citizen's Band,,
Meditation (Meditacao),Claudine Longet,,
Sixty Minute Man/Mother-In-Law,Clarence Carter,,
Tubthumping,Chucklebutt,,
Stealing Cinderella,Chuck Wicks,,
Land Of Make Believe,Chuck Mangione With The Hamilton Philharmonic Orchestra,,
Just A Fool,Christina Aguilera With Blake Shelton,,
Beautiful,Christina Aguilera & Beverly McClellan,,
Ain't Nothing Like The Real Thing/You're All I Need To Get By,Chris Christian (with Amy Holland),,
Total Eclipse Of The Heart,Chloe Kohanski,,
(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P,Cheech & Chong,,
Sister Mary Elephant (Shudd-Up!),Cheech & Chong,,
Hot Rod Lincoln,Charlie Ryan and the Timberline Riders,,
Preacherman,Charlie Russo,,
12-Jul-39,Charlie Rich,,
Your Love (Means Everything to Me),Charles Wright And The Watts 103rd Street Rhythm Band,,
Solution For Pollution,Charles Wright And The Watts 103rd Street Rhythm Band,,
Ruby Duby Du From Key Witness,Charles Wolcott,,
Samantha (What You Gonna Do?),Cellarful Of Noise,,
"When I Fall In Love (From ""Sleepless In Seattle"")",Celine Dion And Clive Griffin,,
"Touch Me Tease Me (From ""The Nutty Professor"")",Case Featuring Foxxy Brown,,
Those Were The Days,Carroll O'Connor And Jean Stapleton (As The Bunkers),,
Superstar/Bless The Beasts And Children,Carpenters,,
So Far Away/Smackwater Jack,Carole King,,
African Waltz,Cannonball Adderley Orchestra,,
Soul Sauce (Guacha Guaro),Cal Tjader,,
Just A Touch Of Love,C+C Music Factory Presents Zelma Davis,,
Hot Hot Hot,Buster Poindexter & His Banshees Of Blue,,
"Willpower Weak, Temptation Strong",Bullet,,
Ling-Ting-Tong,Buddy Knox,,
"Teasable, Pleasable You",Buddy Knox,,
Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,,
Don't It Make You Want To Go Home,Brook Benton With The Dixie Flyers,,
Rainy Night In Georgia/Rubberneckin',Brook Benton,,
Laura (Tell Me What He's Got That I Ain't Got),Brook Benton,,
Determinate,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko",,
Breakthrough,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko",,
Tell Me What's It Gonna Be,Brian McKnight Featuring Jermaine Dupri,,
Piano In The Dark,Brenda Russell Featuring Joe Esposito,,
Ha Cha Cha (funktion),Brass Construction,,
"Missing You (From ""Set It Off"")","Brandy, Tamia, Gladys Knight & Chaka Khan",,
I Want To Hold Your Hand,Boston Pops Orchestra Arthur Fiedler,,
Yakety Sax,Boots Randolph and his Combo,,
Cerveza,Boots Brown And His Blockbusters,,
"Look Into My Eyes (From ""Batman & Robin"")",Bone Thugs-N-Harmony,,
I'll Make You Mine,Bobby Vee With The Eligibles,,
Suzie Baby,Bobby Vee and The Shadows,,
Someday (When I'm Gone From You),Bobby Vee and The Crickets,,
"Don't Worry, Be Happy (From ""Cocktail"")",Bobby McFerrin,,
Potato Peeler,Bobby Gregg and His Friends,,
Glad She's A Woman,Bobby Goldsboro,,
S-W-I-M,Bobby Freeman,,
Your Boyfriend's Back,Bobby Comstock And The Counts,,
Jambalaya,Bobby Comstock And The Counts,,
Let's Stomp,Bobby Comstock,,
"On Our Own (From ""Ghostbusters II"")",Bobby Brown,,
"Shakedown (From ""Beverly Hills Cop II"")",Bob Seger,,
Drive My Car,Bob Kuban And The In-Men,,
The Teaser,Bob Kuban And The In-Men,,
The Whiffenpoof Song,Bob Crewe,,
Our Last Song Together,Bo Donaldson And The Heywoods,,
The Heartbreak Kid,Bo Donaldson And The Heywoods,,
Fix,BLACKstreet With Special Guests Ol' Dirty Bastard & Slash,,
Spring,Birdlegs & Pauline And Their Versatility Birds,,
A Swingin' Safari,Billy Vaughn And His Orchestra,,
Berlin Melody,Billy Vaughn And His Orchestra,,
Hawaiian War Chant,Billy Vaughn And His Orchestra,,
Blue Hawaii,Billy Vaughn And His Orchestra,,
Cimarron (Roll On),Billy Vaughn And His Orchestra,,
What Time Of Day,Billy Thunderkloud & The Chieftones,,
Percolator (Twist),Billy Joe & The Checkmates,,
Skokiaan (South African Song),Bill Haley And His Comets,,
Here's Your Sign (Get The Picture),Bill Engvall With Special Guest Travis Tritt,,
